assessment_id	line 1	line 2	line 3	city	zip_postcode	state	country
4045	80 Eastwood Parkway			Morgantown	26505	West Virginia	United States
4320	8 Crowley Drive			Richmond	23228	Virginia	United States
4040	93307 Pleasure Plaza			Augusta	30919	Georgia	United States
4453	24 Logan Point			East Saint Louis	62205	Illinois	United States
4286	2718 Elka Circle			Pueblo	81005	Colorado	United States
4717	774 Novick Terrace			Anchorage	99517	Alaska	United States
4327	461 Division Park			Fort Wayne	46867	Indiana	United States
4720	0040 3rd Point			Seattle	98133	Washington	United States
4952	28 John Wall Center			Wichita	67236	Kansas	United States
4477	776 Russell Road			Akron	44310	Ohio	United States
4903	39319 Springs Pass			Hartford	06105	Connecticut	United States
4199	2646 Derek Lane			Saint Petersburg	33715	Florida	United States
4869	05 Old Gate Pass			Atlanta	30336	Georgia	United States
4557	973 Brickson Park Crossing			Dallas	75353	Texas	United States
4742	6760 Oneill Avenue			Greenville	29615	South Carolina	United States
4598	3041 Pennsylvania Road			Milwaukee	53263	Wisconsin	United States
4589	76585 Delaware Plaza			Philadelphia	19120	Pennsylvania	United States
4295	9092 Springview Way			Kent	98042	Washington	United States
4697	923 Brentwood Lane			Jackson	39282	Mississippi	United States
4878	74680 Division Way			Colorado Springs	80925	Colorado	United States
4618	12 Glendale Terrace			Knoxville	37939	Tennessee	United States
4286	03 Emmet Drive			Orlando	32868	Florida	United States
4024	1 Sugar Pass			Warren	48092	Michigan	United States
4133	1 Caliangt Trail			Redwood City	94064	California	United States
4681	014 Steensland Crossing			Chicago	60630	Illinois	United States
4259	53136 Grim Road			Scranton	18514	Pennsylvania	United States
4337	8382 Darwin Junction			Milwaukee	53225	Wisconsin	United States
4762	7 Michigan Trail			Birmingham	35225	Alabama	United States
4439	3877 Kensington Way			North Little Rock	72199	Arkansas	United States
4371	1 Hansons Point			Young America	55573	Minnesota	United States
4254	887 Prairieview Trail			Mansfield	44905	Ohio	United States
4700	82 Red Cloud Terrace			Cincinnati	45223	Ohio	United States
4054	63 Fairfield Junction			Washington	20420	District of Columbia	United States
4139	8 Moulton Alley			Sacramento	95865	California	United States
4423	77 Derek Pass			Grand Rapids	49560	Michigan	United States
4308	2376 Fairfield Lane			San Bernardino	92405	California	United States
4147	434 Burning Wood Terrace			Columbia	29220	South Carolina	United States
4146	99 Miller Circle			Philadelphia	19115	Pennsylvania	United States
4917	140 Mcguire Hill			Los Angeles	90040	California	United States
4928	2747 Stang Junction			Pensacola	32505	Florida	United States
4396	6 Carpenter Crossing			Los Angeles	90005	California	United States
4294	073 Crescent Oaks Pass			Cedar Rapids	52405	Iowa	United States
4321	59 Iowa Plaza			Marietta	30066	Georgia	United States
4349	5 Raven Parkway			Houston	77015	Texas	United States
4548	83742 Dorton Circle			Saint Louis	63180	Missouri	United States
4787	97595 Heath Pass			Mc Keesport	15134	Pennsylvania	United States
4075	1807 Stone Corner Court			Wilkes Barre	18706	Pennsylvania	United States
4363	8008 Artisan Trail			Amarillo	79105	Texas	United States
4983	9834 Dexter Point			San Bernardino	92410	California	United States
4425	51 Holy Cross Trail			Greensboro	27415	North Carolina	United States
4168	7382 Almo Parkway			Tacoma	98442	Washington	United States
4150	9523 Londonderry Crossing			Hartford	06120	Connecticut	United States
4126	53065 Stephen Street			Washington	20036	District of Columbia	United States
4716	24738 Nancy Court			Washington	20231	District of Columbia	United States
4312	271 High Crossing Lane			Albany	12222	New York	United States
4022	26207 Harbort Place			Richmond	94807	California	United States
4325	20065 Rutledge Pass			Montgomery	36104	Alabama	United States
4986	860 Coleman Circle			Raleigh	27605	North Carolina	United States
4084	3632 Eastlawn Plaza			Miami	33196	Florida	United States
4045	50 Hauk Plaza			Asheville	28805	North Carolina	United States
4726	82 Dixon Terrace			Denton	76205	Texas	United States
4410	296 Summerview Court			Chandler	85246	Arizona	United States
4161	7 Forest Dale Plaza			Houston	77080	Texas	United States
4131	9 Victoria Avenue			Scottsdale	85271	Arizona	United States
4199	3587 Hazelcrest Park			Denver	80270	Colorado	United States
4595	367 Springs Junction			Topeka	66629	Kansas	United States
4288	9168 Bowman Point			Boston	02216	Massachusetts	United States
4189	398 Surrey Street			Miami	33111	Florida	United States
4405	55069 Columbus Court			Detroit	48275	Michigan	United States
4081	22 Mockingbird Point			Miami	33180	Florida	United States
4523	83998 Lake View Lane			Oxnard	93034	California	United States
4209	578 3rd Point			Tacoma	98447	Washington	United States
4450	2197 Anthes Point			Los Angeles	90015	California	United States
4640	901 High Crossing Drive			Bryan	77806	Texas	United States
4607	94177 Trailsway Terrace			Berkeley	94712	California	United States
4490	413 Little Fleur Hill			Bakersfield	93399	California	United States
4070	1088 Jackson Center			Zephyrhills	33543	Florida	United States
4740	3222 Cordelia Crossing			Minneapolis	55407	Minnesota	United States
4687	9412 Crowley Crossing			Colorado Springs	80930	Colorado	United States
4644	9 Northfield Parkway			Gainesville	32627	Florida	United States
4123	478 Pond Point			Delray Beach	33448	Florida	United States
4140	66081 Service Place			Santa Barbara	93106	California	United States
4082	21699 Jay Trail			Tacoma	98447	Washington	United States
4934	927 Dovetail Way			Young America	55557	Minnesota	United States
4038	13 Messerschmidt Crossing			Oklahoma City	73190	Oklahoma	United States
4716	377 Nelson Park			Boise	83722	Idaho	United States
4755	22 Maple Pass			Houston	77020	Texas	United States
4628	2435 Grover Alley			Norfolk	23520	Virginia	United States
4507	867 Leroy Plaza			Fort Worth	76178	Texas	United States
4930	81 Sundown Crossing			Washington	20226	District of Columbia	United States
4952	14 Northwestern Street			Scottsdale	85255	Arizona	United States
4619	0823 Memorial Lane			El Paso	79968	Texas	United States
4206	5174 Maywood Center			Battle Creek	49018	Michigan	United States
4880	135 Harbort Terrace			Las Vegas	89145	Nevada	United States
4466	30 Scofield Crossing			Tulsa	74116	Oklahoma	United States
4331	59 Lyons Court			El Paso	88553	Texas	United States
4009	090 Clove Pass			Fort Smith	72916	Arkansas	United States
4953	5 Crownhardt Court			Boca Raton	33499	Florida	United States
4437	52 Chive Pass			Amarillo	79118	Texas	United States
4353	70869 Moulton Circle			Gatesville	76598	Texas	United States
4524	8878 Orin Terrace			Louisville	40280	Kentucky	United States
4314	1 Tennyson Crossing			Naples	34102	Florida	United States
4933	132 Loomis Parkway			Pasadena	91103	California	United States
4847	593 Gulseth Place			Shawnee Mission	66210	Kansas	United States
4134	30 Muir Avenue			Wilmington	28410	North Carolina	United States
4939	58 Judy Parkway			Akron	44305	Ohio	United States
4467	56 Petterle Crossing			Sioux City	51105	Iowa	United States
4343	319 Hansons Point			Santa Monica	90405	California	United States
4630	17 Lighthouse Bay Pass			Boise	83711	Idaho	United States
4347	6 Gateway Alley			Wilmington	19886	Delaware	United States
4425	3 Meadow Ridge Park			Naples	34102	Florida	United States
4752	4 Forest Run Street			South Bend	46620	Indiana	United States
4248	5 Eliot Hill			Saint Augustine	32092	Florida	United States
4760	0663 Buell Way			Charleston	29403	South Carolina	United States
4898	9542 Dixon Point			Pittsburgh	15255	Pennsylvania	United States
4975	4230 Garrison Lane			El Paso	79984	Texas	United States
4376	5655 Portage Plaza			Charlotte	28247	North Carolina	United States
4061	1 Atwood Place			Saint Paul	55114	Minnesota	United States
4194	26 Mallard Way			Grand Rapids	49518	Michigan	United States
4492	32334 Blue Bill Park Junction			Oklahoma City	73167	Oklahoma	United States
4908	14 Express Plaza			North Little Rock	72199	Arkansas	United States
4771	8734 Mcguire Lane			Charlotte	28247	North Carolina	United States
4910	27 Lillian Drive			El Paso	88519	Texas	United States
4005	3 Steensland Junction			Shawnee Mission	66220	Kansas	United States
4812	70919 Ridgeway Center			Peoria	61651	Illinois	United States
4288	7987 Northridge Street			New York City	10079	New York	United States
4433	667 Butterfield Avenue			Las Vegas	89120	Nevada	United States
4212	57 Karstens Lane			Des Moines	50981	Iowa	United States
4011	1186 Memorial Place			Atlanta	30351	Georgia	United States
4354	0 Grasskamp Plaza			Denver	80223	Colorado	United States
4304	50337 Oxford Trail			Terre Haute	47812	Indiana	United States
4556	448 Comanche Plaza			Springfield	62776	Illinois	United States
4368	998 Blue Bill Park Park			Memphis	38126	Tennessee	United States
4667	64641 Marquette Park			Washington	20436	District of Columbia	United States
4499	0207 Tomscot Circle			Elizabeth	07208	New Jersey	United States
4777	46 Arkansas Circle			Houston	77271	Texas	United States
4209	5948 Straubel Park			Dearborn	48126	Michigan	United States
4680	55408 Commercial Crossing			Beaumont	77705	Texas	United States
4502	73874 Annamark Pass			Las Vegas	89125	Nevada	United States
4197	385 Helena Place			Rochester	55905	Minnesota	United States
4757	379 Park Meadow Point			Sarasota	34233	Florida	United States
4579	67 Myrtle Hill			Kent	98042	Washington	United States
4013	2657 New Castle Trail			Oklahoma City	73167	Oklahoma	United States
4177	03035 Lunder Park			Houston	77055	Texas	United States
4544	0 Loftsgordon Crossing			Pensacola	32526	Florida	United States
4016	47207 Anthes Street			Springfield	62705	Illinois	United States
4301	8624 Center Place			El Paso	88579	Texas	United States
4788	53025 Blackbird Terrace			Fort Lauderdale	33320	Florida	United States
4427	869 Shelley Parkway			Houston	77228	Texas	United States
4549	916 Straubel Pass			Washington	20046	District of Columbia	United States
4853	06523 Ronald Regan Street			Jackson	39236	Mississippi	United States
4156	75609 Sunfield Pass			Salt Lake City	84152	Utah	United States
4765	3252 Pepper Wood Trail			Tampa	33647	Florida	United States
4213	74 Glendale Road			Lansing	48956	Michigan	United States
4820	9 Jay Hill			Lubbock	79491	Texas	United States
4707	43 Mockingbird Terrace			Jefferson City	65105	Missouri	United States
4387	39 Monument Lane			Baltimore	21211	Maryland	United States
4625	81 Old Gate Point			Paterson	07505	New Jersey	United States
4866	1 Lunder Court			Saint Paul	55188	Minnesota	United States
4622	838 Burrows Way			Tyler	75705	Texas	United States
4239	525 Armistice Lane			Wichita	67236	Kansas	United States
4293	316 Monterey Park			Evansville	47725	Indiana	United States
4630	3 Maywood Circle			Evansville	47719	Indiana	United States
4980	3 Pennsylvania Road			San Diego	92170	California	United States
4830	99401 Montana Street			Bethesda	20892	Maryland	United States
4189	14 Maryland Street			Indianapolis	46278	Indiana	United States
4030	42997 Straubel Junction			Huntington	25726	West Virginia	United States
4207	7 Ryan Way			New Orleans	70187	Louisiana	United States
4534	3292 Dryden Alley			North Little Rock	72199	Arkansas	United States
4536	5616 Algoma Hill			Indianapolis	46216	Indiana	United States
4936	54771 Bluejay Drive			San Antonio	78215	Texas	United States
4525	9904 Darwin Alley			Johnson City	37605	Tennessee	United States
4864	35344 Thackeray Court			Kansas City	64199	Missouri	United States
4588	43190 John Wall Parkway			Saint Paul	55127	Minnesota	United States
4420	99266 Russell Alley			Virginia Beach	23459	Virginia	United States
4701	23672 Del Sol Way			Washington	20215	District of Columbia	United States
4736	758 Wayridge Crossing			Macon	31205	Georgia	United States
4431	49406 Maryland Plaza			Chicago	60641	Illinois	United States
4620	29 Upham Trail			Herndon	22070	Virginia	United States
4899	7763 Golf Course Lane			Gulfport	39505	Mississippi	United States
4738	69 Brentwood Crossing			Washington	20414	District of Columbia	United States
4046	5979 Ridge Oak Plaza			Delray Beach	33448	Florida	United States
4347	37629 Shasta Parkway			Mesquite	75185	Texas	United States
4099	6446 Bay Junction			Tallahassee	32309	Florida	United States
4539	3163 Mandrake Crossing			Melbourne	32919	Florida	United States
4402	4658 Novick Alley			Atlanta	31190	Georgia	United States
4614	1 Michigan Way			Houston	77055	Texas	United States
4884	8 Lien Park			Young America	55564	Minnesota	United States
4235	699 Eastlawn Alley			Tuscaloosa	35405	Alabama	United States
4863	33 Kensington Center			Shreveport	71130	Louisiana	United States
4815	11800 Bonner Plaza			Seattle	98133	Washington	United States
4439	0 Victoria Avenue			San Francisco	94177	California	United States
4556	06 Lake View Crossing			Palm Bay	32909	Florida	United States
4295	185 Fuller Trail			Rockford	61110	Illinois	United States
4388	4 Vahlen Drive			Palm Bay	32909	Florida	United States
4493	744 Evergreen Parkway			Miami	33190	Florida	United States
4038	89533 Colorado Parkway			Huntington	25721	West Virginia	United States
4172	116 Crescent Oaks Terrace			Pittsburgh	15215	Pennsylvania	United States
4242	164 Steensland Terrace			San Diego	92137	California	United States
4466	900 Michigan Lane			Orlando	32830	Florida	United States
4495	7562 Paget Center			Cincinnati	45238	Ohio	United States
4282	8 Clemons Court			Columbus	43231	Ohio	United States
4042	70 Mifflin Park			Duluth	55811	Minnesota	United States
4387	4423 Bowman Hill			Miami Beach	33141	Florida	United States
4732	313 Merchant Hill			Duluth	55805	Minnesota	United States
4112	77 Grover Junction			Farmington	48335	Michigan	United States
4973	20 Walton Court			Boise	83732	Idaho	United States
4521	4 Forest Dale Point			Des Moines	50310	Iowa	United States
4803	99480 Carioca Point			Riverside	92513	California	United States
4291	2 Eliot Circle			Sacramento	95852	California	United States
4074	12936 Tennyson Crossing			Fort Smith	72905	Arkansas	United States
4656	15131 Claremont Drive			Inglewood	90305	California	United States
4949	41 Hoard Park			Cleveland	44105	Ohio	United States
4205	7022 Meadow Valley Terrace			Schaumburg	60193	Illinois	United States
4548	50864 Nobel Center			Phoenix	85015	Arizona	United States
4556	7 Porter Park			Evansville	47737	Indiana	United States
4927	807 Lawn Crossing			Washington	20409	District of Columbia	United States
4755	8082 Schmedeman Junction			Pasadena	91117	California	United States
4630	668 Goodland Hill			El Paso	88558	Texas	United States
4886	349 Waxwing Center			Charleston	25321	West Virginia	United States
4780	9218 Melvin Crossing			Waterloo	50706	Iowa	United States
4875	2852 Eastwood Avenue			Salt Lake City	84189	Utah	United States
