student_id	address_id	first_name	middle_name	last_name	cell_mobile_number	email_address	date_first_rental	date_left_universtity
1	error: nil can't be coerced into Fixnum	Keith	Melissa	Cooper	62-(275)630-4830	mcooper0@independent.co.uk	4/3/2012	1/31/2016
2	error: nil can't be coerced into Fixnum	Shirley	Marilyn	Gilbert	380-(910)717-2929	mgilbert1@diigo.com	4/3/2012	1/11/2016
3	error: nil can't be coerced into Fixnum	Catherine	Heather	Hill	86-(342)496-5703	hhill2@latimes.com	6/7/2012	9/26/2016
4	error: nil can't be coerced into Fixnum	Ernest	Craig	Warren	237-(973)487-8525	cwarren3@youtube.com	6/8/2012	6/30/2016
5	error: nil can't be coerced into Fixnum	Michael	Kathy	Palmer	976-(689)261-5089	kpalmer4@wikipedia.org	3/23/2012	10/27/2016
6	error: nil can't be coerced into Fixnum	Lois	John	Alexander	351-(873)941-8256	jalexander5@hp.com	10/21/2012	5/6/2016
7	error: nil can't be coerced into Fixnum	Pamela	Keith	Hawkins	256-(233)870-3245	khawkins6@webmd.com	12/14/2011	1/21/2016
8	error: nil can't be coerced into Fixnum	Frank	Jesse	Andrews	62-(387)831-8084	jandrews7@miitbeian.gov.cn	7/28/2012	8/27/2016
9	error: nil can't be coerced into Fixnum	Fred	Stephanie	Reynolds	967-(266)848-7160	sreynolds8@meetup.com	10/6/2012	3/17/2016
10	error: nil can't be coerced into Fixnum	Angela	Michael	Welch	93-(272)492-3530	mwelch9@zimbio.com	3/4/2012	9/30/2016
11	error: nil can't be coerced into Fixnum	Raymond	Benjamin	Lynch	386-(260)243-3875	blyncha@blinklist.com	6/3/2012	12/11/2015
12	error: nil can't be coerced into Fixnum	Douglas	Gerald	Smith	45-(145)983-7571	gsmithb@disqus.com	11/11/2012	3/18/2016
13	error: nil can't be coerced into Fixnum	Christopher	Barbara	Peters	385-(355)730-5167	bpetersc@angelfire.com	9/3/2012	5/1/2016
14	error: nil can't be coerced into Fixnum	Jessica	Christina	Mason	93-(974)665-6075	cmasond@java.com	12/21/2011	7/28/2016
15	error: nil can't be coerced into Fixnum	Eugene	Peter	Burton	30-(774)726-1387	pburtone@berkeley.edu	11/12/2012	12/16/2015
16	error: nil can't be coerced into Fixnum	David	Chris	Martinez	30-(972)221-7778	cmartinezf@i2i.jp	8/19/2012	9/12/2016
17	error: nil can't be coerced into Fixnum	Mark	Ernest	Elliott	380-(220)208-6281	eelliottg@purevolume.com	9/10/2012	1/24/2016
18	error: nil can't be coerced into Fixnum	Sara	Victor	Day	261-(189)645-2954	vdayh@wsj.com	1/5/2012	1/12/2016
19	error: nil can't be coerced into Fixnum	Jonathan	Mildred	Graham	84-(792)129-7827	mgrahami@who.int	11/22/2012	12/18/2015
20	error: nil can't be coerced into Fixnum	Maria	Michael	Dean	86-(449)568-4222	mdeanj@myspace.com	1/27/2012	6/3/2016
21	error: nil can't be coerced into Fixnum	Kathryn	Carl	Barnes	66-(350)576-1864	cbarnesk@youtube.com	2/25/2012	7/20/2016
22	error: nil can't be coerced into Fixnum	Ruby	Jacqueline	Myers	351-(635)970-3170	jmyersl@imageshack.us	2/16/2012	8/10/2016
23	error: nil can't be coerced into Fixnum	Anna	Angela	Andrews	238-(158)317-0721	aandrewsm@wikispaces.com	10/11/2012	12/10/2015
24	error: nil can't be coerced into Fixnum	Wayne	Wanda	Bennett	591-(445)820-3733	wbennettn@multiply.com	11/17/2012	1/12/2016
25	error: nil can't be coerced into Fixnum	Victor	Virginia	Cruz	86-(141)518-6419	vcruzo@reference.com	4/12/2012	11/28/2015
26	error: nil can't be coerced into Fixnum	Emily	Eric	Nelson	299-(332)835-9863	enelsonp@imageshack.us	1/11/2012	1/3/2016
27	error: nil can't be coerced into Fixnum	Juan	Denise	Mitchell	81-(932)496-1963	dmitchellq@uiuc.edu	12/26/2011	6/3/2016
28	error: nil can't be coerced into Fixnum	Karen	Deborah	Parker	63-(666)974-5433	dparkerr@sina.com.cn	5/22/2012	6/21/2016
29	error: nil can't be coerced into Fixnum	Ann	Susan	Bell	976-(837)313-7008	sbells@wikimedia.org	11/2/2012	11/4/2016
30	error: nil can't be coerced into Fixnum	Mark	Katherine	Holmes	86-(471)659-2135	kholmest@mail.ru	10/2/2012	5/30/2016
